Island_Name,RasterAddress_1km,DepthBin_5m,Depth_m_mn,Longitude_mn,Latitude_mn,Longitude_ras,Latitude_ras,AreaSurveyed_m2_sum,PercentLiveCoralCover_mean,PercentLiveCoralCover_sd,PercentLiveCoralCover_N,PctCoralUnbleached_mean,PctCoralUnbleached_sd,PctCoralUnbleached_N,PctCoralPartialBleached_mean,PctCoralPartialBleached_sd,PctCoralPartialBleached_N,PctCoralFullyBleached_mean,PctCoralFullyBleached_sd,PctCoralFullyBleached_N,PctAffected_mean,PctAffected_sd,PctAffected_N,DHW.MeanMax_Degree_Heating_Weeks_MO03,DHW.MeanMax_Degree_Heating_Weeks_YR10YR01,mean_PAR_MODIS_Daily_MO03,mean_kdPAR_VIIRS_Weekly_MO03,mean_weekly_range_SST_CRW_Daily_ALLB4,Prop_BleachResTaxa,OTP_MHI_OSDS_TotalEffluent,LBSP_AgGolf_runoff_01_sc,LBSP_Urban_runoff_01_sc,WaveEnergy_MN1979.2012,TourRec_DirectHuman_10yrAvgPUD,Depth_m_mn_sc,Correlation_Weight
Hawaii,44158,"(5,10]",5.930238236,-156.0321892,19.79455237,-156.0317545,19.79391276,3175.7,22.5,10.60660172,3,56.5754341,1.371211897,3,19.74310998,2.12633541,3,23.68145592,2.283785333,3,43.42333333,1.372090862,3,11.51000023,0,49.56394475,0.068050658,2.477170045,0.19859335,0,0.169841086,-0.470788109,6063.11775,18.10000038,-0.613141222,0.820113761
Hawaii,44626,"(5,10]",7.355262483,-156.0510073,19.77650195,-156.0497825,19.77396468,6122.6,51.66666667,2.886751346,3,55,2.5,3,23.33333333,1.443375673,3,21.66666667,2.886751346,3,45,2.5,3,11.64000034,0,47.48799817,0.0659177,2.485094394,0.219515808,62.82676855,0.795095347,0.430845125,6199.435399,3.600000143,-0.199992292,0.450108239
Hawaii,45096,"(5,10]",8.524131374,-156.0513388,19.75845152,-156.0497825,19.76051535,6153.1,25.83333333,6.291528696,3,57.5,11.45643924,3,16.66666667,7.216878365,3,25.83333333,7.637626158,3,42.5,11.45643924,3,11.64000034,0,47.48799817,0.066370737,2.485094394,3.166549405,0,1.141086327,0.851020215,3851.5883,3.700000048,0.138891016,0.09822167
Hawaii,45331,"(5,10]",9.721426492,-156.0519878,19.7494263,-156.0497825,19.75154518,5867.9,25.83333333,18.08544535,3,43.33333333,3.818813079,3,35,5,3,21.66666667,8.779711461,3,56.66666667,3.818813079,3,11.64000034,0,47.24406739,0.066370737,2.484528344,0.903525809,0,1.173689996,0.875727741,4839.132435,8.5,0.486015774,0.294665011
Hawaii,48392,"(10,15]",10.9728,-155.993,19.63209852,-155.9956985,19.6312,30,NA,NA,3,33.63333333,18.59955197,3,28.66666667,12.10798635,3,39.5,10.44557323,3,68.16666667,19.59855437,3,12.57999992,0,49.22377998,0.068641667,2.501320821,4.802283116,41933.13906,-0.073748993,0.319677142,194.4411799,378.8999939,0.848819163,0.057416
Hawaii,50040,"(10,15]",12.192,-155.96935,19.56892202,-155.9686565,19.56838,30,NA,NA,3,54.86666667,4.31895049,3,23.23333333,5.853488988,3,22.9,0.953939201,3,46.13333333,4.916638418,3,12.72000027,0,49.16075916,0.068183334,2.503584952,3.087943431,4282.876878,4.196628483,1.222156214,3748.9383,112.3999939,1.202294675,0.228869911
Hawaii,52394,"(5,10]",7.9248,-155.93278,19.47866988,-155.9326005,19.4793,30,NA,NA,3,50.8,4.497777229,3,27,8.15046011,3,23.8,6.274551777,3,50.8,5.335728629,3,12.77999973,0,49.21433322,0.064511111,2.50622645,5.073637645,947.7229163,1.802550917,0.344991515,54.76470694,34.20000076,-0.034869617,0.210893521
Hawaii,55218,"(10,15]",10.9728,-155.8974,19.37036732,-155.8965445,19.36915,30,NA,NA,3,49.16666667,5.78734251,3,29.83333333,3.75410886,3,21.03333333,9.089737803,3,50.86666667,5.762233363,3,13.85000038,0,44.48502707,0.064290909,2.519056356,11.02557632,530.6323112,-0.336821047,-0.286745949,9614.806047,7.900000095,0.848819163,0.19528376
Hawaii,35008,"(10,15]",10.63696681,-155.8970824,20.14653572,-155.8965445,20.14492797,2210.4,17.5,NA,2,60.195,0.275771645,2,20.48,13.46331311,2,19.325,13.18754147,2,39.805,0.275771645,2,8.5,0,48.51433784,0.050994445,2.509811329,8.821201164,56.5884285,-1.005668316,-0.63148863,169.3088266,1.700000048,0.751453015,1
Hawaii,36656,"(10,15]",10.55859014,-155.8686117,20.08335922,-155.8695025,20.08233267,5071,37.5,10.60660172,2,41.25,1.767766953,2,40,3.535533906,2,18.75,5.303300859,2,58.75,1.767766953,2,10.67000008,0,48.57293881,0.055998667,2.522830315,2.55196457,2227.752633,-1.004421784,-0.540804332,173.6941207,1.799999952,0.728729727,0.519740226
